githubFile,Reviewers,DateReviewed,Status,HITLnotes
ATOSU-70570-00003__20170307.csv,"KB,WR",4/30/19,Clear,
ATOSU-70570-00003__20180830.csv,"KB,WR",4/30/19,Clear,
ATOSU-70570-00003__20190401.csv,"KB,WR",5/13/19,Clear,
ATOSU-70570-00003__20201117.csv,"MV,WR",5/26/21,Clear,
ATOSU-70570-00004__20150413.csv,"KB,WR",4/30/19,Clear,
ATOSU-70570-00004__20170111.csv,"KB,WR",4/30/19,Clear,
ATOSU-70570-00004__20180830.csv,"KB,WR",4/30/19,Clear,
ATOSU-70570-00004__20190401.csv,"KB,WR",5/13/19,Clear,
ATOSU-70570-00004__20201222.csv,"MV,WR",5/26/21,Clear,
ATOSU-70571-00001__20131218.csv,"KB,WR",4/30/19,Clear,
ATOSU-70571-00001__20160426.csv,"KB,WR",4/30/19,Clear,
ATOSU-70571-00001__20171128.csv,"KB,WR",4/30/19,Clear,
ATOSU-70571-00001__20191111.csv,"WR,EH",4/9/20,Clear,
ATOSU-70571-00001__20211027.csv,"MV,WR",7/15/22,Clear,
ATOSU-70571-00002__20140107.csv,"KB,WR",4/30/19,Clear,
ATOSU-70571-00002__20160426.csv,"KB,WR",4/30/19,Clear,
ATOSU-70571-00002__20171211.csv,"KB,WR",4/30/19,Clear,
ATOSU-70571-00002__20191125.csv,"WR,EH",4/9/20,Clear,
ATOSU-70571-00002__20211101.csv,"MV,WR",7/15/22,Clear,
ATOSU-70571-00003__20140415.csv,"KB,WR",4/30/19,Clear,
ATOSU-70571-00003__20170203.csv,"KB,WR",4/30/19,Clear,
ATOSU-70571-00003__20180827.csv,"KB,WR",4/30/19,Clear,
ATOSU-70571-00003__20201007.csv,"MV,WR",5/26/21,Clear,
ATOSU-70571-00004__20150511.csv,"KB,WR",4/30/19,Clear,
ATOSU-70571-00004__20170214.csv,"KB,WR",4/30/19,Clear,
ATOSU-70571-00004__20180906.csv,"KB,WR",4/30/19,Clear,
ATOSU-70571-00004__20201123.csv,"MV,WR",5/26/21,Clear,
ATAPL-58337-00001__20230707.csv,"MW,WR",8/3/23,Clear,
ATOSU-70571-00003__20230504.csv,"MW,WR",8/3/23,Clear,
ATAPL-58337-00003__20230526.csv,"MW,WR",8/3/23,Clear,
ATAPL-58337-00005__20230526.csv,"MW,WR",8/3/23,Clear,
ATAPL-58337-00009__20230707.csv,"MW,WR",8/3/23,Clear,
ATAPL-58337-00010__20230707.csv,"MW,WR",8/3/23,Clear,
ATAPL-58337-00014__20211101.csv,"MW,WR",8/3/23,Clear,
ATOSU-70570-00003__20230614.csv,"MW,WR",8/3/23,Clear,
ATAPL-58336-00002__20230516.csv,"MW,WR",8/3/23,Clear,
ATAPL-58336-00003__20230516.csv,"MW,WR",8/3/23,Clear,
ATAPL-58336-00009__20230614.csv,"MW,WR",8/3/23,Clear,
ATOSU-58336-00005__20230516.csv,"MW,WR",8/3/23,Clear,
ATOSU-58336-00007__20230614.csv,"MW,WR",8/3/23,Clear,
